index,prob
0,0.999997539953752
1,0.9999976214908418
2,0.9999077442017469
3,0.9999200592578297
4,0.9999314446047128
5,0.9999447871591444
6,0.9999481282736126
7,0.9975913693197072
8,0.997984412838431
9,0.9983081240206957
10,0.998481326014082
11,0.9986746812623645
12,0.9987669347397076
13,0.9988679303913504
14,0.9989623874425888
15,0.9990350759473434
16,0.9990177188462358
17,0.9968237279037249
18,0.9968988707209651
19,0.9970379162630344
20,0.9972827593753447
21,0.9958864672176809
22,0.9959589251458527
23,0.9961044390901866
24,0.9962256423731096
25,0.9964474139273477
26,0.9959273018589192
27,0.9960888453458544
28,0.9961960244151514
29,0.9962083424502861
30,0.9962216767023432
31,0.9963938282276301
32,0.9964372034240889
33,0.9966091563304266
34,0.9967057091315686
35,0.9967578604580865
36,0.9968715044192628
37,0.9970067745695511
38,0.996297111086694
39,0.9957485802821878
40,0.9958417537848903
41,0.9959634976654217
42,0.9960630496726192
43,0.9961200048729458
44,0.9961927143525667
45,0.9962087947724567
46,0.9962839518411918
47,0.9963378277856799
48,0.9963804854337575
49,0.9964567543987859
50,0.9965755563478939
51,0.9966575613010995
52,0.9967136106736492
53,0.9967526931847844
54,0.9968214285649939
55,0.996843708530882
56,0.9965390983542414
57,0.996573079481597
58,0.9966063988534455
59,0.9966953119735502
60,0.9967565870869143
61,0.9968398380051091
62,0.9968813197412032
63,0.9969441190813527
64,0.9966598186041238
65,0.996705522643724
66,0.9967501307491952
67,0.9967698339489961
68,0.9967985521985404
69,0.9968306855201872
70,0.9969079329182283
71,0.9969725964608818
72,0.9969941863172236
73,0.9970433751269825
74,0.9970742105555036
75,0.9970977515892087
76,0.9971209393995148
77,0.9971549498250698
78,0.9970896571411798
79,0.9971701082273956
80,0.9972015685373093
81,0.9972301934949988
82,0.9972618534263544
83,0.9973008045535858
84,0.9969843581544631
85,0.9970196477265773
86,0.9970575220552571
87,0.9970786611640737
88,0.9971299551962095
89,0.9971583203321269
90,0.9971853852286012
91,0.9972113773406771
92,0.9972319130431792
93,0.9972596205328698
94,0.997297550880764
95,0.9973295248150825
96,0.9969730157695718
97,0.9970106690032355
98,0.9970476134624492
99,0.9970626154325294
100,0.9970921988846728
101,0.9971063621047386
102,0.9971278761257716
103,0.9971477714404647
104,0.997208426450865
105,0.9972500635141676
106,0.9969462177045337
107,0.9969429474901552
108,0.9969744615522572
109,0.9970007148277397
110,0.9970153554360658
111,0.9970366347533567
112,0.9970455055798261
113,0.997053227583931
114,0.9970007263280641
115,0.9968997752058641
